Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
8/27/25,BORONDO,Beele,148,138,56,14
8/27/25,Doo-Wops & Hooligans,Bruno Mars,149,153,3,742
8/27/25,Bright As Blasphemy,Chevelle,150,150,1,-
8/27/25,Higher,Chris Stapleton,151,152,3,93
8/27/25,20 Number Ones,Thomas Rhett,152,143,22,94
8/27/25,Utopia,Travis Scott,153,159,1,108
8/27/25,Thank Me Later,Drake,154,181,1,137
8/27/25,OK Computer,Radiohead,155,151,21,70
8/27/25,ASTROWORLD,Travis Scott,156,161,1,368
8/27/25,Greatest Hits,Aerosmith,157,154,36,100
8/27/25,Mutt,Leon Thomas,158,155,35,24
8/27/25,Greatest Hits,Bob Seger & The Silver Bullet Band,159,158,8,581
8/27/25,Am I Okay?,Megan Moroney,160,140,9,58
8/27/25,Their Greatest Hits 1971-1975,Eagles,161,157,1,498
8/27/25,Parachutes,Coldplay,162,187,51,86
8/27/25,Goodbye & Good Riddance,Juice WRLD,163,164,4,379
8/27/25,The Best Of Sade,Sade,164,166,9,132
8/27/25,Paranoid,Black Sabbath,165,91,12,81
8/27/25,Genesis,Peso Pluma,166,163,3,113
8/27/25,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,167,149,14,365
8/27/25,We Don't Trust You,Future & Metro Boomin,168,171,1,74
8/27/25,King Of Hearts,Brandon Lake,169,167,7,10
8/27/25,ZOMBIES 4: Dawn Of The Vampires,Soundtrack,170,142,80,6
8/27/25,Incomodo,Tito Double P,171,169,11,52
8/27/25,2014 Forest Hills Drive,J. Cole,172,178,1,559
8/27/25,Sublime,Sublime,173,162,13,261
8/27/25,No Vacancy,Treaty Oak Revival,174,172,164,15
8/27/25,The Select,Ty Myers,175,189,66,30
8/27/25,Freudian,Daniel Caesar,176,25,161,-
8/27/25,Speak Now (Taylor's Version),Taylor Swift,177,1,87,-
8/27/25,The Star Chapter : Together,TOMORROW X TOGETHER,178,125,3,4
8/27/25,Leather,Cody Johnson,179,186,18,84
8/27/25,One - X,Three Days Grace,180,5,131,-
8/27/25,Redencion,Dareyes de La Sierra,181,165,133,10
8/27/25,ANTI,Rihanna,182,191,1,486
8/27/25,House Of Balloons,The Weeknd,183,113,25,-
8/27/25,Tha Carter III,Lil Wayne,184,168,1,307
8/27/25,Metallica,Metallica,185,185,1,803
8/27/25,I've Tried Everything But Therapy (Part 2),Teddy Swims,186,188,4,29
8/27/25,More Life,Drake,187,199,1,394
8/27/25,The Stranger,Billy Joel,188,160,2,144
8/27/25,Tha Carter IV,Lil Wayne,189,147,1,77
8/27/25,California Sunrise,Jon Pardi,190,183,11,245
8/27/25,Currents,Tame Impala,191,182,4,213
8/27/25,The Greatest Hits Collection,Brooks & Dunn,192,184,4,153
8/27/25,Cosa Nuestra,Rauw Alejandro,193,198,6,39
8/27/25,The Hits,Billy Joel,194,173,34,30
8/27/25,Happier Than Ever,Billie Eilish,195,195,1,211
8/27/25,Unreal Unearth,Hozier,196,175,3,59
8/27/25,Heroes & Villains,Metro Boomin,197,200,1,139
8/27/25,Over It,Summer Walker,198,2,304,-
8/27/25,When We All Fall Asleep; Where Do We Go?,Billie Eilish,199,1,333,-
8/27/25,Greatest Hits; Volume One: The Singles,The Goo Goo Dolls,200,33,24,-
